nMess	nMicro	tf_deg_low	tf_deg_high	m_deg_low	m_deg_high	tf_p_nz	defect	pmr	m_p_nz	rho	p_zero	p_one	entropy_rate	expression_mean	expression_std	condent_0	condent_1	condent_2	condent_3	condent_4	condent_5	condent_6	condent_7	condent_8	condent_9	condent_10	condent_11	condent_12	condent_13	condent_14	condent_15	condent_16	condent_17	condent_18	condent_19	condent_20	condent_21	condent_22	condent_23	condent_24	condent_25	condent_26	condent_27	condent_28	condent_29	condent_30	condent_31	condent_32	condent_33	condent_34	condent_35	condent_36	condent_37	condent_38	condent_39	condent_40	condent_41	condent_42	condent_43	condent_44	condent_45	condent_46	condent_47	condent_48	condent_49	condent_50	condent_51	condent_52	condent_53	condent_54	condent_55	condent_56	condent_57	condent_58	condent_59	condent_60	condent_61	condent_62	condent_63	condent_64	condent_65	condent_66	condent_67	condent_68	condent_69	condent_70	condent_71	condent_72	condent_73	condent_74	condent_75	condent_76	condent_77	condent_78	condent_79	condent_80	condent_81	condent_82	condent_83	condent_84	condent_85	condent_86	condent_87	condent_88	condent_89	condent_90	condent_91	condent_92	condent_93	condent_94	condent_95	condent_96	condent_97	condent_98	condent_99	condent_100	condent_101	condent_102	condent_103	condent_104	condent_105	condent_106	condent_107	condent_108	condent_109	condent_110	condent_111	condent_112	condent_113	condent_114	condent_115	condent_116	condent_117	condent_118	condent_119	condent_120	condent_121	condent_122	condent_123	condent_124	condent_125	condent_126	condent_127	condent_128	condent_129	condent_130	condent_131	condent_132	condent_133	condent_134	condent_135	condent_136	condent_137	condent_138	condent_139	condent_140	condent_141	condent_142	condent_143	condent_144	condent_145	condent_146	condent_147	condent_148	condent_149	condent_150
130	0	7	23	12	45	0.225000	0.200000	2.475000	0.350000	0.695000	0.130000	0.130000	3.159311	64.141673	5.812384	2.597808	2.725799	2.812320	2.874936	2.922227	2.959015	2.988265	3.011924	3.031327	3.047426	3.060919	3.072328	3.082051	3.090397	3.097608	3.103877	3.109357	3.114173	3.118426	3.122200	3.125562	3.128571	3.131273	3.133708	3.135909	3.137906	3.139722	3.141377	3.142890	3.144275	3.145546	3.146714	3.147788	3.148779	3.149693	3.150537	3.151317	3.152038	3.152705	3.153322	3.153894	3.154422	3.154911	3.155364	3.155782	3.156168	3.156525	3.156853	3.157156	3.157434	3.157689	3.157922	3.158135	3.158329	3.158505	3.158664	3.158807	3.158935	3.159049	3.159149	3.159237	3.159312	3.159376	3.159430	3.159473	3.159506	3.159530	3.159546	3.159553	3.159552	3.159544	3.159529	3.159508	3.159479	3.159445	3.159406	3.159361	3.159310	3.159255	3.159195	3.159131	3.159063	3.158991	3.158915	3.158836	3.158753	3.158667	3.158578	3.158486	3.158392	3.158295	3.158196	3.158094	3.157991	3.157885	3.157778	3.157668	3.157557	3.157445	3.157331	3.157216	3.157100	3.156982	3.156863	3.156743	3.156623	3.156501	3.156379	3.156256	3.156132	3.156008	3.155883	3.155758	3.155632	3.155506	3.155380	3.155253	3.155126	3.154999	3.154872	3.154745	3.154617	3.154490	3.154363	3.154235	3.154108	3.153981	3.153854	3.153727	3.153601	3.153475	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
130	13	7	23	12	45	0.225000	0.200000	2.475000	0.350000	0.695000	0.130000	0.130000	3.161194	59.802758	5.816642	2.593367	2.720310	2.806061	2.868130	2.915051	2.951609	2.980741	3.004368	3.023808	3.039997	3.053620	3.065190	3.075097	3.083644	3.091068	3.097558	3.103265	3.108311	3.112796	3.116802	3.120396	3.123635	3.126565	3.129226	3.131651	3.133868	3.135901	3.137772	3.139497	3.141092	3.142569	3.143941	3.145218	3.146407	3.147518	3.148556	3.149527	3.150438	3.151293	3.152095	3.152850	3.153559	3.154228	3.154857	3.155450	3.156010	3.156538	3.157036	3.157507	3.157951	3.158371	3.158767	3.159141	3.159495	3.159829	3.160145	3.160443	3.160724	3.160990	3.161240	3.161477	3.161700	3.161910	3.162108	3.162294	3.162469	3.162634	3.162789	3.162934	3.163070	3.163197	3.163316	3.163427	3.163531	3.163627	3.163716	3.163799	3.163875	3.163945	3.164010	3.164069	3.164123	3.164171	3.164215	3.164254	3.164289	3.164320	3.164346	3.164368	3.164387	3.164402	3.164414	3.164423	3.164428	3.164431	3.164430	3.164427	3.164421	3.164413	3.164402	3.164389	3.164374	3.164356	3.164337	3.164315	3.164292	3.164267	3.164241	3.164212	3.164183	3.164152	3.164119	3.164085	3.164050	3.164013	3.163976	3.163937	3.163897	3.163857	3.163815	3.163773	3.163729	3.163685	3.163640	3.163594	3.163548	3.163501	3.163453	3.163405	3.163357	3.163307	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
130	26	7	23	12	45	0.225000	0.200000	2.475000	0.350000	0.695000	0.130000	0.130000	3.158346	55.840325	5.793365	2.588911	2.714786	2.799738	2.861219	2.907721	2.943993	2.972943	2.996470	3.015873	3.032076	3.045751	3.057402	3.067413	3.076081	3.083639	3.090272	3.096128	3.101328	3.105969	3.110133	3.113886	3.117283	3.120371	3.123188	3.125769	3.128140	3.130326	3.132348	3.134222	3.135964	3.137587	3.139103	3.140522	3.141852	3.143101	3.144276	3.145383	3.146428	3.147415	3.148348	3.149232	3.150070	3.150865	3.151619	3.152337	3.153019	3.153668	3.154286	3.154875	3.155437	3.155973	3.156484	3.156973	3.157439	3.157885	3.158311	3.158718	3.159108	3.159480	3.159837	3.160179	3.160506	3.160819	3.161119	3.161406	3.161681	3.161945	3.162197	3.162439	3.162671	3.162894	3.163107	3.163311	3.163507	3.163695	3.163874	3.164047	3.164212	3.164370	3.164522	3.164667	3.164806	3.164940	3.165067	3.165189	3.165306	3.165418	3.165525	3.165628	3.165725	3.165819	3.165908	3.165994	3.166075	3.166153	3.166227	3.166298	3.166365	3.166429	3.166490	3.166549	3.166604	3.166656	3.166706	3.166753	3.166798	3.166840	3.166880	3.166918	3.166953	3.166986	3.167018	3.167047	3.167075	3.167101	3.167125	3.167147	3.167168	3.167187	3.167205	3.167221	3.167236	3.167249	3.167261	3.167272	3.167282	3.167290	3.167298	3.167304	3.167309	3.167313	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
130	39	7	23	12	45	0.225000	0.200000	2.475000	0.350000	0.695000	0.130000	0.130000	3.151851	52.217836	5.749227	2.584441	2.709228	2.793351	2.854207	2.900243	2.936175	2.964884	2.988248	3.007549	3.023697	3.037354	3.049016	3.059061	3.067779	3.075401	3.082108	3.088046	3.093333	3.098066	3.102325	3.106174	3.109669	3.112855	3.115772	3.118451	3.120921	3.123205	3.125324	3.127294	3.129133	3.130851	3.132461	3.133973	3.135396	3.136737	3.138002	3.139199	3.140333	3.141408	3.142429	3.143399	3.144322	3.145202	3.146040	3.146840	3.147605	3.148335	3.149034	3.149703	3.150344	3.150958	3.151547	3.152111	3.152654	3.153175	3.153675	3.154156	3.154619	3.155064	3.155492	3.155904	3.156301	3.156684	3.157053	3.157408	3.157751	3.158081	3.158400	3.158708	3.159005	3.159291	3.159568	3.159836	3.160094	3.160343	3.160584	3.160817	3.161043	3.161260	3.161471	3.161675	3.161872	3.162062	3.162246	3.162425	3.162597	3.162764	3.162926	3.163082	3.163233	3.163380	3.163522	3.163659	3.163792	3.163921	3.164046	3.164166	3.164283	3.164397	3.164506	3.164612	3.164715	3.164815	3.164911	3.165005	3.165095	3.165183	3.165268	3.165350	3.165430	3.165507	3.165582	3.165654	3.165724	3.165792	3.165858	3.165921	3.165983	3.166043	3.166100	3.166156	3.166210	3.166263	3.166313	3.166362	3.166410	3.166456	3.166500	3.166543	3.166585	3.166625	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
130	52	7	23	12	45	0.225000	0.200000	2.475000	0.350000	0.695000	0.130000	0.130000	3.142512	48.902202	5.689366	2.579956	2.703637	2.786903	2.847097	2.892624	2.928166	2.956580	2.979722	2.998860	3.014890	3.028467	3.040077	3.050092	3.058800	3.066424	3.073145	3.079106	3.084423	3.089192	3.093490	3.097383	3.100923	3.104158	3.107124	3.109854	3.112375	3.114712	3.116883	3.118907	3.120798	3.122570	3.124234	3.125799	3.127274	3.128668	3.129986	3.131236	3.132422	3.133548	3.134621	3.135642	3.136616	3.137546	3.138435	3.139285	3.140099	3.140879	3.141626	3.142343	3.143032	3.143694	3.144330	3.144942	3.145531	3.146097	3.146644	3.147170	3.147678	3.148167	3.148640	3.149096	3.149537	3.149962	3.150374	3.150772	3.151156	3.151528	3.151889	3.152237	3.152575	3.152902	3.153218	3.153525	3.153822	3.154111	3.154390	3.154661	3.154924	3.155180	3.155427	3.155668	3.155901	3.156128	3.156348	3.156561	3.156769	3.156971	3.157167	3.157357	3.157543	3.157723	3.157898	3.158068	3.158234	3.158395	3.158551	3.158704	3.158852	3.158997	3.159137	3.159274	3.159407	3.159537	3.159663	3.159786	3.159906	3.160022	3.160136	3.160246	3.160354	3.160459	3.160561	3.160661	3.160758	3.160853	3.160945	3.161035	3.161123	3.161208	3.161292	3.161373	3.161452	3.161529	3.161605	3.161678	3.161750	3.161820	3.161888	3.161954	3.162019	3.162083	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
130	65	7	23	12	45	0.225000	0.200000	2.475000	0.350000	0.695000	0.130000	0.130000	3.130938	45.863569	5.617773	2.575457	2.698013	2.780395	2.839892	2.884869	2.919975	2.948042	2.970909	2.989829	3.005685	3.019124	3.030626	3.040555	3.049196	3.056770	3.063452	3.069385	3.074682	3.079437	3.083728	3.087618	3.091160	3.094399	3.097373	3.100113	3.102646	3.104996	3.107182	3.109222	3.111131	3.112920	3.114603	3.116187	3.117683	3.119097	3.120437	3.121707	3.122915	3.124063	3.125158	3.126201	3.127198	3.128151	3.129062	3.129935	3.130771	3.131574	3.132344	3.133085	3.133796	3.134481	3.135140	3.135774	3.136386	3.136975	3.137544	3.138093	3.138623	3.139135	3.139630	3.140109	3.140571	3.141019	3.141452	3.141872	3.142278	3.142672	3.143053	3.143423	3.143782	3.144130	3.144468	3.144795	3.145113	3.145422	3.145722	3.146013	3.146297	3.146572	3.146839	3.147099	3.147352	3.147598	3.147838	3.148070	3.148297	3.148518	3.148733	3.148942	3.149145	3.149344	3.149537	3.149725	3.149909	3.150088	3.150262	3.150432	3.150598	3.150759	3.150917	3.151070	3.151220	3.151367	3.151509	3.151649	3.151785	3.151917	3.152047	3.152173	3.152297	3.152417	3.152535	3.152650	3.152762	3.152872	3.152979	3.153084	3.153187	3.153287	3.153384	3.153480	3.153573	3.153665	3.153754	3.153841	3.153927	3.154010	3.154092	3.154171	3.154250	3.154326	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
130	78	7	23	12	45	0.225000	0.200000	2.475000	0.350000	0.695000	0.130000	0.130000	3.117599	43.075090	5.537565	2.570944	2.692358	2.773829	2.832596	2.876983	2.911609	2.939283	2.961826	2.980476	2.996107	3.009357	3.020699	3.030493	3.039018	3.046492	3.053090	3.058948	3.064182	3.068882	3.073124	3.076972	3.080477	3.083684	3.086628	3.089343	3.091854	3.094184	3.096354	3.098378	3.100273	3.102051	3.103723	3.105299	3.106787	3.108194	3.109528	3.110794	3.111998	3.113143	3.114235	3.115277	3.116273	3.117224	3.118136	3.119009	3.119846	3.120650	3.121422	3.122164	3.122878	3.123565	3.124226	3.124864	3.125479	3.126072	3.126644	3.127197	3.127732	3.128248	3.128747	3.129230	3.129698	3.130150	3.130588	3.131013	3.131425	3.131824	3.132210	3.132586	3.132950	3.133304	3.133647	3.133980	3.134304	3.134619	3.134925	3.135222	3.135511	3.135792	3.136066	3.136332	3.136591	3.136843	3.137088	3.137327	3.137560	3.137787	3.138008	3.138223	3.138433	3.138638	3.138837	3.139032	3.139221	3.139406	3.139587	3.139763	3.139935	3.140103	3.140266	3.140426	3.140582	3.140734	3.140883	3.141029	3.141170	3.141309	3.141445	3.141577	3.141706	3.141833	3.141957	3.142077	3.142196	3.142311	3.142424	3.142535	3.142643	3.142749	3.142852	3.142953	3.143052	3.143149	3.143244	3.143337	3.143428	3.143516	3.143603	3.143689	3.143772	3.143854	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
130	0	10	15	7	58	0.312500	0.150000	3.287500	0.225000	0.547500	0.190000	0.070000	3.124582	48.200615	5.639746	2.185108	2.450763	2.599937	2.698919	2.770158	2.824014	2.866113	2.899842	2.927385	2.950227	2.969416	2.985716	2.999699	3.011798	3.022350	3.031619	3.039815	3.047106	3.053630	3.059499	3.064804	3.069621	3.074015	3.078039	3.081737	3.085148	3.088305	3.091234	3.093961	3.096505	3.098885	3.101116	3.103211	3.105184	3.107043	3.108799	3.110460	3.112032	3.113524	3.114940	3.116287	3.117568	3.118788	3.119952	3.121062	3.122123	3.123137	3.124106	3.125035	3.125924	3.126776	3.127594	3.128378	3.129132	3.129855	3.130551	3.131220	3.131864	3.132484	3.133080	3.133655	3.134210	3.134744	3.135260	3.135757	3.136237	3.136701	3.137149	3.137582	3.138000	3.138405	3.138796	3.139175	3.139541	3.139896	3.140239	3.140572	3.140894	3.141206	3.141509	3.141802	3.142087	3.142363	3.142631	3.142891	3.143143	3.143388	3.143626	3.143857	3.144081	3.144299	3.144511	3.144717	3.144917	3.145111	3.145300	3.145484	3.145663	3.145837	3.146007	3.146172	3.146332	3.146488	3.146640	3.146788	3.146933	3.147073	3.147210	3.147343	3.147473	3.147599	3.147723	3.147843	3.147960	3.148074	3.148185	3.148293	3.148398	3.148501	3.148601	3.148698	3.148793	3.148886	3.148976	3.149063	3.149149	3.149232	3.149312	3.149391	3.149467	3.149541	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
130	13	10	15	7	58	0.312500	0.150000	3.287500	0.225000	0.547500	0.190000	0.070000	3.111933	44.815429	5.565597	2.182192	2.446125	2.593922	2.691813	2.762190	2.815367	2.856935	2.890250	2.917473	2.940070	2.959074	2.975238	2.989123	3.001156	3.011667	3.020914	3.029105	3.036405	3.042948	3.048844	3.054183	3.059040	3.063478	3.067550	3.071299	3.074763	3.077974	3.080960	3.083745	3.086347	3.088786	3.091076	3.093232	3.095264	3.097183	3.098999	3.100719	3.102352	3.103903	3.105378	3.106783	3.108122	3.109400	3.110620	3.111787	3.112904	3.113973	3.114998	3.115980	3.116923	3.117828	3.118698	3.119534	3.120339	3.121113	3.121858	3.122576	3.123269	3.123936	3.124580	3.125201	3.125801	3.126381	3.126941	3.127482	3.128005	3.128512	3.129002	3.129476	3.129935	3.130379	3.130810	3.131227	3.131632	3.132024	3.132405	3.132774	3.133132	3.133479	3.133817	3.134145	3.134463	3.134772	3.135072	3.135364	3.135648	3.135924	3.136192	3.136453	3.136707	3.136953	3.137194	3.137428	3.137655	3.137877	3.138093	3.138303	3.138508	3.138707	3.138901	3.139091	3.139275	3.139455	3.139630	3.139801	3.139968	3.140130	3.140289	3.140443	3.140594	3.140741	3.140885	3.141025	3.141161	3.141294	3.141424	3.141551	3.141674	3.141795	3.141912	3.142027	3.142139	3.142247	3.142354	3.142457	3.142558	3.142656	3.142751	3.142844	3.142934	3.143022	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
130	26	10	15	7	58	0.312500	0.150000	3.287500	0.225000	0.547500	0.190000	0.070000	3.096912	41.730175	5.478800	2.179272	2.441476	2.587879	2.684654	2.754136	2.806595	2.847586	2.880436	2.907284	2.929578	2.948339	2.964308	2.978036	2.989942	3.000353	3.009521	3.017650	3.024902	3.031409	3.037279	3.042600	3.047446	3.051879	3.055950	3.059702	3.063174	3.066395	3.069394	3.072193	3.074812	3.077269	3.079579	3.081755	3.083809	3.085751	3.087590	3.089334	3.090991	3.092567	3.094067	3.095497	3.096862	3.098166	3.099412	3.100605	3.101748	3.102843	3.103893	3.104902	3.105870	3.106801	3.107697	3.108559	3.109388	3.110187	3.110958	3.111700	3.112417	3.113109	3.113777	3.114422	3.115045	3.115648	3.116231	3.116795	3.117341	3.117869	3.118381	3.118877	3.119357	3.119823	3.120275	3.120713	3.121138	3.121550	3.121950	3.122339	3.122716	3.123083	3.123439	3.123785	3.124121	3.124448	3.124766	3.125075	3.125376	3.125669	3.125954	3.126231	3.126501	3.126764	3.127019	3.127269	3.127511	3.127748	3.127978	3.128203	3.128422	3.128635	3.128843	3.129046	3.129244	3.129437	3.129625	3.129809	3.129988	3.130163	3.130333	3.130500	3.130662	3.130820	3.130975	3.131126	3.131273	3.131417	3.131558	3.131695	3.131828	3.131959	3.132086	3.132210	3.132331	3.132449	3.132565	3.132677	3.132786	3.132893	3.132997	3.133098	3.133196	3.133292	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
